date,time,decimal_year,latitude,longitude,pressure,altitude,theta,AoA,AoA_lowerBound,AoA_upperBound,CO2,ArN2,N2O,CO,O3,H2O,CH4
2009-01-10,2:52:00,2009.025,58.9,-138.05,21018.8,10925.8143,333.08,0.64,0.1,0.1,383.67,-19.23,310.8,31.1,333.5,5.57,1756.76
2009-01-10,3:23:00,2009.025,60.14,-143.91,16139.2,12490.8682,354.68,0.99,0.1,0.1,383.18,-34.16,303.4,24.3,512,4,1721.39
2009-01-13,0:03:00,2009.033,71.08,-149.09,16182.4,12277.8184,344.36,1,0.1,0.1,383.13,-43.54,303.3,24.8,516.4,3.73,1714.1
2009-01-13,0:09:00,2009.033,70.41,-148.57,16180.5,12303.6668,346.3,1.28,0.1,0.1,382.92,-27.53,296.9,21.9,627.7,3.63,1685.15
2009-01-13,0:17:00,2009.033,69.37,-148.43,16179.1,12348.8679,349.49,0.62,0.1,0.1,383.58,-22.9,311.1,31.3,339.7,3.56,1752.17
2009-01-14,20:58:00,2009.038,54.96,-162.66,32976.2,8032.5731,311.4,0.27,0.11,0.11,384.54,-27.76,317.9,47,207.3,15.02,1789.97
2009-01-19,1:40:00,2009.05,-37.48,178.68,23251.8,10939.3814,349.83,0.25,0.11,0.11,384.5,-26.58,318.2,37.8,159.3,10.04,1767.83
2009-01-21,2:44:00,2009.055,-65.26,-176.76,26386.8,9635.9691,342.28,1.26,0.11,0.11,383.03,-11.16,297.3,18.9,265.9,4.51,1661.23
2009-01-21,2:53:00,2009.055,-64.18,-177.68,17227.9,12548.233,382.56,0.3,0.11,0.11,384.48,-28.09,317.3,36.2,213,2.88,1764.51
2009-01-21,3:03:00,2009.055,-63.07,-178.54,16181,12970.1637,385.2,1.73,0.1,0.11,382.7,-79.41,286.2,19.7,376.8,3.33,1627.61
2009-01-26,7:52:00,2009.069,-26.22,-117.03,17854.7,12939.0652,342.38,0.36,0.1,0.11,384.57,-21.35,316.1,39.3,148.7,-9999,1751.67
2009-01-26,7:55:00,2009.069,-26.28,-116.6,17858.4,12935.4361,342.04,0.35,0.1,0.1,384.71,-33.35,316.3,38.5,150.4,-9999,1752.18
2009-10-31,21:33:00,2009.833,60.72,-136.41,21770.9,10845.3204,356.02,0.11,0.11,0.11,385.44,1.8,321.4,44.2,173.5,8.8,1805.96
2009-10-31,21:51:00,2009.833,60.95,-140.79,16168.2,12810.1651,386.11,0.35,0.11,0.11,385.83,-14.71,316.9,36.1,277.9,5.91,1779.85
2009-10-31,21:58:00,2009.833,61.01,-142.61,16166.4,12806.7678,388.58,0.59,0.1,0.1,385.72,-18.22,312.2,30,387.8,5.63,1747.46
2009-10-31,22:04:00,2009.833,61.03,-144.11,16249.9,12774.8817,388.11,0.58,0.1,0.1,385.77,-16.11,312.4,28.1,400.9,5.69,1738.61
2009-10-31,22:09:00,2009.833,61.05,-145.71,23803.3,10240.4414,348.67,0.33,0.11,0.11,385.96,9.44,317.3,35.2,259.3,7.97,1778.82
2009-11-02,19:53:00,2009.838,67.35,-150.5,25271.8,9778.3796,333.88,0.43,0.11,0.11,385.87,-36.07,315.3,34.1,270.9,7.95,1767.04
2009-11-03,0:27:00,2009.838,71.57,-147.83,23785.5,10160.0301,331.71,0.21,0.11,0.11,385.69,-4.82,319.5,44.2,188.8,17.92,1792.63
2009-11-03,1:09:00,2009.838,66.21,-149.3,14676.6,13351.7923,397.75,0.72,0.1,0.1,385.54,-29.25,309.5,24.7,470.3,5.26,1737.55
2009-11-03,1:24:00,2009.839,64.3,-149.68,14675.9,13379.8679,398.16,0.6,0.1,0.1,385.56,-16.74,312,27.6,434.6,5.38,1752.99
2009-11-10,1:01:00,2009.858,-38.89,-179.58,22735.5,10947.614,333.51,0.48,0.1,0.11,385.57,-34.96,314.3,37.6,196.6,-9999,1740.1
2009-11-10,1:20:00,2009.858,-40.26,178.29,16236.7,13125.5058,369.78,1.42,0.11,0.11,384.45,-62.68,294.2,20.1,368,-9999,1653.15
2009-11-12,4:31:00,2009.864,-46.87,172.83,16184.5,12938.5404,382.82,1,0.11,0.11,384.97,-48.1,303.5,20.5,475.7,6.43,1680.07
2009-11-14,21:50:00,2009.871,-41.99,168.18,19037.5,12045.8017,352.09,0.57,0.11,0.11,385.75,-45.08,312.4,29,280.3,7.5,1718.55
2009-11-21,20:10:00,2009.89,66.81,-149.9,24969.2,9628.0433,338.17,0.31,0.11,0.11,385.74,-2.7,317.8,39.9,255.4,10.01,1776.84
2009-11-21,23:44:00,2009.89,81.79,-155.53,26898.2,9186.9875,316.47,0.21,0.11,0.11,385.88,8.34,319.7,59.2,145.6,-9999,1800.55
2009-11-21,23:49:00,2009.89,81.17,-154.93,21259.9,10713.9072,351.37,0.18,0.11,0.11,385.41,6.05,320.1,51.1,163.5,-9999,1793.58
2009-11-22,0:12:00,2009.89,78.32,-153.14,14678.6,13087.1202,390.07,1.99,0.08,0.08,383.41,-69.54,279,18.4,1023.6,6.08,1596.16
2009-11-22,1:04:00,2009.891,71.56,-151.33,14670.4,13082.5501,402.18,2.57,0.08,0.08,382.18,-105.11,259.6,17.4,1393.3,6.29,1513.16
2009-11-22,1:33:00,2009.891,67.78,-150.91,14677,13152.5275,400.06,0.64,0.1,0.1,385.53,-36.48,311.3,27.8,440.7,7.13,1748.32
2010-03-24,19:31:00,2010.227,44.56,-107.63,18741.2,12066.4471,338.03,1.27,0.1,0.1,384.96,-65.96,298,27.4,586.3,5.33,1687.49
2010-03-24,19:49:00,2010.227,46.22,-109.29,18799,12046.9733,336.86,1.04,0.1,0.1,385.76,-100.12,303.1,37.5,493.1,7.93,1713.58
2010-03-24,20:23:00,2010.227,49.61,-111.59,18762.6,11994.5643,333.84,1.3,0.09,0.09,384.73,-91.74,297.3,26.5,590.6,5.04,1688.42
2010-03-24,20:29:00,2010.227,50.29,-111.99,18767.7,11979.5804,336.84,1.33,0.09,0.09,384.91,-69.95,296.6,26.4,595.5,4.89,1683.29
2010-03-24,23:59:00,2010.227,60.93,-140.17,16181.6,12759.4423,377.72,1.46,0.09,0.09,384.9,-59.38,293.4,28,692.1,4.18,1664.87
2010-03-25,0:01:00,2010.227,60.96,-140.93,16177.8,12761.6728,377.12,1.54,0.09,0.09,384.87,-49.39,291.5,27.5,723.6,4.3,1656.76
2010-03-26,20:09:00,2010.232,71.4,-148.75,34968.4,7435.3907,308.07,0.67,0.1,0.1,387.06,-18.03,310.9,53.7,297.5,13.13,1753.6
2010-03-26,20:13:00,2010.232,71.82,-148.78,32985.5,7820.1192,313.04,0.77,0.1,0.1,385.83,-20.94,309,35.9,395.6,9.41,1732.73
2010-03-26,21:00:00,2010.233,75.41,-149,33060.5,7807.7332,310.51,0.74,0.1,0.1,386.01,-36.31,309.6,38.3,375.3,9.67,1742.53
2010-03-26,22:47:00,2010.233,83.45,-149,32959.1,8007.714,302.43,0.21,0.11,0.11,389.73,-11.12,320,97.7,144.2,23.94,1817.25
2010-03-29,18:58:00,2010.241,56.79,-159.86,23321.3,10088.3682,339.11,1.12,0.1,0.1,385.07,-130.49,301.5,29.4,527.2,5.93,1696.23
2010-03-29,20:35:00,2010.241,50.63,-160.31,32986.5,7914.3108,299.65,0.28,0.11,0.11,388.35,-34.45,318.6,73,198,19.45,1793.92
2010-04-06,2:58:00,2010.261,-63.85,170,25076.9,9438.022,336.7,1,0.11,0.11,385.1,-33.07,303.8,24.7,246.7,-9999,1693.22
2010-04-06,3:46:00,2010.261,-57.28,170,16330.6,12541.5106,376.19,0.87,0.1,0.11,385.64,-40.94,306.7,25.8,316.4,8.02,1713.89
2010-04-06,4:00:00,2010.261,-55.48,170,16207.6,12669.0242,375.13,0.43,0.1,0.11,386.2,-22.75,315.6,33.3,206.8,-9999,1752.92
2010-04-06,4:58:00,2010.261,-47.76,170.26,16204.3,12934.172,368.77,0.25,0.11,0.11,386.57,0.78,319.1,39,163.8,-9999,1770.06
2010-04-08,22:53:00,2010.268,-39.15,176.96,19702.7,11938.3653,339.13,0.63,0.11,0.11,385.09,-48.38,311.5,30.1,180.4,8.88,1733.04
2010-04-08,22:59:00,2010.268,-38.53,177.54,19702.8,11935.4656,341.09,0.66,0.11,0.11,385.67,-62.28,310.9,27.8,202.5,7.28,1718.64
2010-04-14,3:06:00,2010.283,56.55,-162.2,14659.9,13363.9937,385.47,2.53,0.08,0.08,383.2,-102.39,261.4,20.3,1195.6,4.59,1537.84
2010-04-14,3:17:00,2010.283,58.06,-161.47,14667.8,13342.1555,385.83,2.78,0.11,0.09,382.38,-106.86,250.7,19.3,1321.5,4.65,1496.96
2010-04-14,3:27:00,2010.283,59.41,-161.55,14668,13320.6785,387.91,2.77,0.1,0.09,382.36,-113.75,251.4,19.5,1321.1,4.69,1499.75
2010-04-14,3:39:00,2010.283,60.82,-161.23,14671.2,13300.1956,391.5,2.84,0.12,0.1,382.68,-122.6,247.8,19,1385.1,4.77,1484.3
2010-04-15,19:08:00,2010.287,66.69,-147.87,33069.8,8017.7464,303.19,0.45,0.11,0.1,387.83,-49.83,315.4,60.4,279.7,-9999,1776.17
2010-04-15,23:10:00,2010.288,82.43,-149,19833.9,11178.2926,356.42,1.78,0.09,0.09,384.12,-65.9,285.4,23.8,771.9,-9999,1633.02
2010-04-15,23:21:00,2010.288,81.05,-148.99,14676.7,13173.6927,391.51,2.28,0.08,0.08,383.12,-86.39,270.3,20.7,1206.8,-9999,1573.38
2010-04-15,23:38:00,2010.288,78.94,-149,14680.4,13195.5925,392.33,2.45,0.08,0.08,383.27,-107.63,264.4,20.3,1256.6,-9999,1546.5
2010-04-15,23:52:00,2010.288,77.15,-149,14678.9,13212.676,392.89,3.05,0.17,0.14,382.62,-128.32,235.2,17.5,1443.2,-9999,1434.18
2010-04-16,0:04:00,2010.288,75.66,-149,14684,13228.0261,392.77,2.58,0.08,0.08,383.13,-107.86,259.5,19.6,1288.8,-9999,1529.76
2010-04-16,0:34:00,2010.288,71.84,-148.66,14682.6,13279.2535,390.26,2.51,0.08,0.08,383,-91.92,262.1,19.8,1223.1,-9999,1540.26
2010-04-16,0:48:00,2010.288,70.06,-149.1,14684.6,13306.3111,391.27,2.74,0.1,0.09,382.98,-103.48,252.9,18.5,1351.5,-9999,1504.67
